row,author,status,n_words,target_words,T_target,S_anchor,S_risky,S_whole_anchor,S_whole_risky,anchor_exact,anchor_near,sel_worst_n1,sel_worst_n8,sel_worst_n64,risky_exact,risky_near,meter_0.0649836_exact,meter_0.0649836_near,meter_0.5_exact,meter_0.5_near,meter_1_exact,meter_1_near,meter_3_exact,meter_3_near,meter_10_exact,meter_10_near
232,Ralph Waldo Emerson,public_domain,18,9,10,28.8879,4.3248,72.2703,25.1467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0
233,Chuck Palahniuk,protected,16,8,10,20.7477,4.2244,57.8274,27.8451,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.125,0.75,0.75,1.0,1.0
237,Nicholas Sparks,protected,24,12,15,29.4255,4.0432,75.2669,28.0753,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
239,Marilyn Monroe,protected,12,6,7,23.0851,4.6218,71.0493,29.7226,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
240,Harper Lee,protected,17,8,10,44.3931,4.6703,94.9806,25.9093,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
241,Isaac Asimov,protected,17,8,9,39.4808,3.9993,80.6337,23.2021,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
242,Helen Keller,protected,15,7,9,15.6569,4.883,51.5332,25.8462,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.875,0.875
243,John Green,protected,27,13,16,65.3173,4.4686,126.1741,34.3333,0.0,0.0,0.0,0.0,0.0,0.75,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0
248,Charles Bukowski,protected,14,7,9,21.5087,0.6592,104.6257,52.2799,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.875,0.875
251,Charlotte BrontÃ«,public_domain,19,9,10,25.2667,4.2298,92.1772,23.4006,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875
252,Lemony Snicket,protected,24,12,14,37.5714,5.8148,123.8296,27.8806,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
