constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
kl,-1.0,50,bookmia.01.62,5,30.53,-50.0,80.53,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.69,0,186.78,-50.0,236.78,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.69,1,166.0,-50.0,216.0,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.69,2,170.25,-50.0,220.25,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.69,3,184.38,-50.0,234.38,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.69,4,170.71,-50.0,220.71,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.69,5,40.94,-50.0,90.94,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.71,0,190.38,-50.0,240.38,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.71,1,159.48,-50.0,209.48,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.71,2,187.47,-50.0,237.47,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.71,3,165.58,-50.0,215.58,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.71,4,129.23,-50.0,179.23,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.71,5,81.86,-50.0,131.86,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.73,0,168.91,-50.0,218.91,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.73,1,181.13,-50.0,231.13,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.73,2,136.82,-50.0,186.82,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.73,3,174.88,-50.0,224.88,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.73,4,149.82,-50.0,199.82,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.73,5,20.4,-50.0,70.4,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.74,0,199.67,-50.0,249.67,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.74,1,171.57,-50.0,221.57,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.74,2,130.13,-50.0,180.13,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.74,3,162.71,-50.0,212.71,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.74,4,153.93,-50.0,203.93,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.74,5,36.24,-50.0,86.24,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.75,0,193.49,-50.0,243.49,4,1,4,1.0,1.0
kl,-1.0,50,bookmia.01.75,1,177.09,-50.0,227.09,2,1,2,1.0,1.0
