k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
10.0,chained,50,kl,bookmia.01.89,a_game_of_thrones,272,6,648.879,126.419,500.0,0.2528,655.37,0.2484,0,10.939,304,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.90,a_game_of_thrones,247,5,479.887,115.06,500.0,0.2301,492.274,0.2279,0,13.664,253,5,5,0,0.0,3
10.0,chained,50,kl,bookmia.01.97,a_game_of_thrones,263,6,605.207,116.084,500.0,0.2322,624.438,0.2689,0,11.874,304,6,6,0,0.0,7
10.0,chained,50,kl,bookmia.07.02,casino_royale,243,5,525.795,134.73,500.0,0.2695,534.135,0.2688,0,9.83,253,5,5,0,0.0,2
10.0,chained,50,kl,bookmia.07.03,casino_royale,261,6,755.865,185.046,500.0,0.3701,787.993,0.3769,0,12.529,304,6,6,0,0.5355,38
10.0,chained,50,kl,bookmia.07.04,casino_royale,262,6,553.817,106.212,500.0,0.2124,553.581,0.2351,0,10.543,304,6,6,0,0.0,6
10.0,chained,50,kl,bookmia.07.05,casino_royale,263,6,633.289,138.733,500.0,0.2775,605.884,0.2444,0,12.624,304,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.07.06,casino_royale,243,5,0.0,0.0,500.0,0.0,0.0,0.0,0,11.037,5,5,5,0,0.0,0
10.0,chained,50,kl,bookmia.07.07,casino_royale,256,6,607.526,163.8,500.0,0.3276,617.606,0.324,0,12.913,304,6,6,0,0.1389,30
10.0,chained,50,kl,bookmia.07.08,casino_royale,270,6,626.065,120.734,500.0,0.2415,659.327,0.2479,0,11.589,304,6,6,0,0.0,9
10.0,chained,50,kl,bookmia.07.09,casino_royale,261,6,612.663,133.807,500.0,0.2676,619.594,0.3367,0,11.116,304,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.07.15,casino_royale,261,6,582.199,119.676,500.0,0.2394,619.51,0.2434,0,10.879,305,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.07.16,casino_royale,244,5,417.675,117.409,500.0,0.2348,377.054,0.2254,0,11.874,250,5,5,0,0.0,2
10.0,chained,50,kl,bookmia.07.17,casino_royale,250,5,563.091,215.485,500.0,0.431,581.923,0.4346,0,12.443,250,5,5,0,0.1881,38
10.0,chained,50,kl,bookmia.07.20,casino_royale,261,6,430.769,137.239,500.0,0.2745,417.452,0.2795,0,10.906,304,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.07.24,casino_royale,245,5,609.032,199.103,500.0,0.3982,600.323,0.4096,0,12.203,250,5,5,0,0.4093,56
10.0,chained,50,kl,bookmia.07.25,casino_royale,264,6,572.741,122.339,500.0,0.2447,579.197,0.2537,0,12.36,304,6,6,0,0.0,9
